Requirement ID,Domain,Title,Requirement,Priority,Phase,Preliminary Fit,Capability,Accountable Owner,Verification Method,Source Status,Implementation Status,Design Reference,Module Reference,Test Case,UAT Result,Release,Acceptance Notes,Decision / Comments
GOV-001,"Strategy, Mission Alignment, and Governance",Unified system of record,"The platform shall maintain a governed, authoritative system of record linking strategy, mission, core functions, demands, approved projects, resources, costs, risks, decisions, outcomes, and realized benefits across DDC5I.",Must,1,Configure,"Strategy, Mission Alignment, and Governance",DDC5I Portfolio Owner,Demonstration,Proposed,Implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,tests/,Not Run,MVP 0.1.0,MVP reference implementation; see known limitations and acceptance checklist.,
GOV-002,"Strategy, Mission Alignment, and Governance",Strategy hierarchy,"The platform shall represent configurable strategic hierarchies including Joint Staff priorities, DDC5I priorities, directorate objectives, division objectives, mission outcomes, lines of effort, and measurable key results.",Must,1,Configure,"Strategy, Mission Alignment, and Governance",Strategy Lead,Demonstration,Proposed,Partially implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,,Not Run,MVP hardening / 0.2.0,MVP reference implementation; see known limitations and acceptance checklist.,
GOV-003,"Strategy, Mission Alignment, and Governance",Mission and function catalog,"The platform shall maintain a version-controlled catalog of DDC5I missions, statutory or directed functions, recurring core functions, products, services, customers, supported commands, and Joint or coalition effects.",Must,1,Extend,"Strategy, Mission Alignment, and Governance",DDC5I Portfolio Owner,Demonstration,Proposed,Implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,tests/,Not Run,MVP 0.1.0,MVP reference implementation; see known limitations and acceptance checklist.,
GOV-004,"Strategy, Mission Alignment, and Governance",Bidirectional traceability,"Every demand, core function, investment, and project shall trace to at least one mission, objective, or approved mandate, and leaders shall be able to navigate from strategy to execution and from execution back to strategy.",Must,1,Configure,"Strategy, Mission Alignment, and Governance",Division Portfolio Manager,Demonstration,Proposed,Implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,tests/,Not Run,MVP 0.1.0,MVP reference implementation; see known limitations and acceptance checklist.,
GOV-005,"Strategy, Mission Alignment, and Governance",Unaligned work control,"The platform shall identify work lacking mission alignment, record the justification or exception authority, and prevent approval unless the required waiver is documented.",Must,1,Configure,"Strategy, Mission Alignment, and Governance",Portfolio Governance Board,Workflow test,Proposed,Partially implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,,Not Run,MVP hardening / 0.2.0,MVP reference implementation; see known limitations and acceptance checklist.,
GOV-006,"Strategy, Mission Alignment, and Governance",Governance calendar,"The platform shall schedule and track recurring portfolio governance events, submission cutoffs, decision forums, budget drills, quarterly reviews, and annual planning cycles.",Must,1,Configure,"Strategy, Mission Alignment, and Governance",Portfolio Management Office,Demonstration,Proposed,Partially implemented,docs/USER_GUIDE.md#v050-portfolio-governance,app/main.py; app/models.py; app/services/v050.py; app/templates/portfolio_reviews.html; app/templates/scenarios.html; app/templates/integrations.html; app/templates/data_quality.html,tests/test_v050.py,Automated acceptance test passed,0.5.0,"Governance reviews now have periods, scope, chair, participants, agenda items, decisions, actions, completion, and audit. Recurring calendar automation remains planned.",
GOV-007,"Strategy, Mission Alignment, and Governance",Decision rights,"The platform shall encode configurable decision authorities, thresholds, quorum rules, delegation, and escalation paths by demand type, value, risk, division, and funding level.",Must,1,Configure,"Strategy, Mission Alignment, and Governance",Portfolio Governance Board,Demonstration,Proposed,Partially implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,,Not Run,MVP hardening / 0.2.0,MVP reference implementation; see known limitations and acceptance checklist.,
GOV-008,"Strategy, Mission Alignment, and Governance",Decision record,"Each governance decision shall capture the decision, date, authority, participants, rationale, conditions, dissent or caveats, affected items, and required follow-up actions.",Must,1,Configure,"Strategy, Mission Alignment, and Governance",Portfolio Governance Board,Demonstration,Proposed,Implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,tests/,Not Run,MVP 0.1.0,MVP reference implementation; see known limitations and acceptance checklist.,
GOV-009,"Strategy, Mission Alignment, and Governance",Portfolio policies,"Administrators shall manage versioned business rules for intake, scoring, stage gates, status reporting, resource assignment, financial control, change approval, and closure.",Must,1,Configure,"Strategy, Mission Alignment, and Governance",System Administrator,Demonstration,Proposed,Partially implemented,docs/REQUIREMENTS_TRACEABILITY.md,app/main.py; app/models.py,,Not Run,MVP hardening / 0.2.0,MVP reference implementation; see known limitations and acceptance checklist.,
GOV-010,"Strategy, Mission Alignment, and Governance",Planning horizons,"The platform shall support current execution, budget year, POM or multi-year planning, and user-defined planning horizons without losing historical baselines.",Must,3,Configure,"Strategy, Mission Alignment, and Governance",Financial Manager,Demonstration,Proposed,Planned,,,,Not Run,Phase 3,MVP reference implementation; see known limitations and acceptance checklist.,
